 Information Exposure,"MidiCart stores the midicart.mdb database file under the Web document root, which allows remote attackers to steal sensitive information by directly requesting the database.",What vulnerability does MidiCart expose by storing the midicart.mdb database file under the Web document root?
 Improper Control of Generation of Code ('Code Injection'),PHP file inclusion vulnerability in osCommerce 2.1 execute arbitrary commands via the include_file parameter to include_once.php.,"What are the potential risks associated with the PHP file inclusion vulnerability found in osCommerce 2.1, specifically regarding the include_file parameter in include_once.php?"
 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),"Cross-site scripting (XSS) vulnerability in Ikonboard 3.1.1 allows remote attackers to inject arbitrary web script or HTML via a private message with a javascript: URL in the IMG tag, in which the URL ends in a "".gif"" or "".jpg"" string, a variant of CVE-2002-0328.","What type of vulnerability does Ikonboard 3.1.1 have that allows remote attackers to inject arbitrary web scripts or HTML, and what is the specific method used for this injection?"
 Concurrent Execution using Shared Resource with Improper Synchronization ('Race Condition'),"sshd in OpenSSH 3.6.1p2 and earlier, when PermitRootLogin is disabled and using PAM keyboard-interactive authentication, does not insert a delay after a root login attempt with the correct password, which makes it easier for remote attackers to use timing differences to determine if the password step of a multi-step authentication is successful, a different vulnerability than CVE-2003-0190.",What vulnerability was identified in OpenSSH 3.6.1p2 and earlier related to root login attempts and PAM keyboard-interactive authentication?
 Improper Authentication,Session fixation vulnerability in Macromedia JRun 4.0 allows remote attackers to hijack user sessions by pre-setting the user session ID information used by the session server.,What is the session fixation vulnerability in Macromedia JRun 4.0 and how can it be exploited by remote attackers?
 Configuration,"distcc 2.x, as used in XCode 1.5 and others, when not configured to restrict access to the server port, allows remote attackers to execute arbitrary commands via compilation jobs, which are executed by the server without authorization checks.",What security vulnerability does distcc 2.x present when used in XCode 1.5 and other applications if it is not properly configured to restrict access?
 Permissions Privileges and Access Controls,Unrestricted file upload vulnerability in AspDotNetStorefront 3.3 allows remote authenticated administrators to upload arbitrary files with executable extensions via admin/images.aspx.,What type of vulnerability exists in AspDotNetStorefront 3.3 that allows remote authenticated administrators to upload executable files?
 Improper Restriction of Operations within the Bounds of a Memory Buffer,Multiple stack-based buffer overflows in FutureSoft TFTP Server Evaluation Version 1.0.0.1 allow remote attackers to execute arbitrary code via a long (1) filename or (2) transfer mode string in a Read Request (RRQ) or Write Request (WRQ) packet.,What vulnerabilities are present in FutureSoft TFTP Server Evaluation Version 1.0.0.1 that allow remote attackers to execute arbitrary code?
 Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),"Directory traversal vulnerability in FutureSoft TFTP Server Evaluation Version 1.0.0.1 allows remote attackers to read arbitrary files via a TFTP GET request containing (1) ""../"" (dot dot slash) or (2) ""..\"" (dot dot backslash) sequences.",What type of vulnerability is present in FutureSoft TFTP Server Evaluation Version 1.0.0.1 and how can it be exploited by remote attackers?
 Information Exposure,"Apache Derby before 10.1.2.1 exposes the (1) user and (2) password attributes in cleartext via (a) the RDBNAM parameter of the ACCSEC command and (b) the output of the DatabaseMetaData.getURL function, which allows context-dependent attackers to obtain sensitive information.",What vulnerabilities were identified in Apache Derby versions prior to 10.1.2.1 that allowed context-dependent attackers to access sensitive user and password information?
 Improper Restriction of Operations within the Bounds of a Memory Buffer,Heap-based buffer overflow in Pedro Lineu Orso chetcpasswd before 2.4 allows remote attackers to cause a denial of service (application crash) and possibly execute arbitrary code via a long X-Forwarded-For HTTP header.  NOTE: The provenance of this information is unknown; the details are obtained solely from third party information.,"What vulnerabilities are associated with heap-based buffer overflow in Pedro Lineu Orso chetcpasswd versions prior to 2.4, and how can they be exploited?"
 Improper Restriction of Operations within the Bounds of a Memory Buffer,Multiple off-by-one errors in fsplib.c in fsplib before 0.8 allow attackers to cause a denial of service via unspecified vectors involving the (1) name and (2) d_name entry attributes.,What vulnerabilities exist in fsplib.c before version 0.8 that could allow attackers to execute a denial of service attack?
 Resource Management Errors,"The skge driver 1.5 in Linux kernel 2.6.15 on Ubuntu does not properly use the spin_lock and spin_unlock functions, which allows remote attackers to cause a denial of service (machine crash) via a flood of network traffic.",What vulnerability exists in the skge driver 1.5 in Linux kernel 2.6.15 on Ubuntu that can lead to a denial of service attack?
 Resource Management Errors,"WebCore in Apple WebKit build 18794 allows remote attackers to cause a denial of service (null dereference and application crash) via a TD element with a large number in the ROWSPAN attribute, as demonstrated by a crash of OmniWeb 5.5.3 on Mac OS X 10.4.8, a different vulnerability than CVE-2006-2019.",What vulnerability in WebCore of Apple WebKit build 18794 can lead to a denial of service and how can it be exploited?
 Numeric Errors,"Integer overflow in the 16 bit variable reference counter in PHP 4 allows context-dependent attackers to execute arbitrary code by overflowing this counter, which causes the same variable to be destroyed twice, a related issue to CVE-2007-1286.",What vulnerability allows context-dependent attackers to execute arbitrary code in PHP 4 by exploiting the integer overflow in the 16-bit variable reference counter?
 Improper Authentication,Session fixation vulnerability in eXV2 CMS 2.0.4.3 and earlier allows remote attackers to hijack web sessions by setting the PHPSESSID cookie.,"What is the session fixation vulnerability in eXV2 CMS 2.0.4.3, and how can it be exploited by remote attackers?"
